cohort,run_key,solution_id,is_representative,decision_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period,first_topology_time_period,global_supply_at_first_path,stocked_feasible_supplier_at_period_start
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,1,30.8886300522964,52.19999999999626,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,2,4.5826928685102075,51.299999999996324,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,6,13.8284767260308,154.7999999999889,0.8999999999999354,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,10,11.09494062902472,124.1999999999911,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,13,15.195244774533847,170.0999999999878,0.8999999999999354,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,17,11.577329352025785,129.5999999999907,0.8999999999999354,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,18,9.567376339521317,107.09999999999232,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,22,9.96936694202222,111.59999999999201,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,0,0.0,142.1999999999898,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,1,0.0,52.19999999999626,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,2,0.0,51.299999999996324,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,6,0.0,154.7999999999889,0.8999999999999354,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,10,0.0,124.1999999999911,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,13,0.0,170.0999999999878,0.8999999999999354,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,17,0.0,129.5999999999907,0.8999999999999354,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,18,0.0,107.09999999999232,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,9,22,0.0,111.59999999999201,0.8999999999999355,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,0,0.0,0.0,0.0,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,1,8.507333908535657,8.507333908535657,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,2,8.360655737698835,8.360655737698835,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,6,5.0,5.0,0.029069767441860465,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,10,20.24158757548139,20.24158757548139,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,13,27.722174288159295,27.722174288159295,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,17,21.12165660050232,21.12165660050232,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,18,17.454702329581778,17.454702329581778,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,1,22,18.188093183765886,18.188093183765886,0.14667817083682166,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,0,0.0,0.0,0.0,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,1,6.33527162223254,14.842605530768196,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,2,6.226042801159565,14.5866985388584,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,6,35.0,40.0,0.23255813953488372,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,10,15.073577308070526,35.315164883551915,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,13,20.644247182792242,48.366421470951536,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,17,15.728950234508375,36.850606835010694,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,18,12.998229707684004,30.452932037265782,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,2,22,13.544373813048878,31.732466996814765,0.2559069919097965,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,0,10.0,10.0,0.06329113924050633,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,1,6.282950970531601,21.125556501299798,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,2,6.174624229660367,20.761322768518767,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,6,22.64820203833733,62.64820203833733,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,10,14.949090240230362,50.26425512378228,0.364233732781031,1,1,1043.1000000000001,True
