case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,11,125.75582990382827,343.99999999968713,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,12,320.99999999970805,320.99999999970805,0.9999999999990905,2
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,13,132.70164609037693,362.99999999966985,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,14,343.99999999968713,343.99999999968713,0.9999999999990905,2
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,15,383.99999999965075,383.99999999965075,0.9999999999990905,2
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,91.75788751703749,250.99999999977172,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,17,123.92798353894705,338.9999999996917,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,18,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,19,211.99999999972533,301.99999999972533,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,20,103.09053497930108,281.9999999997435,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,21,102.72496570632484,280.99999999974443,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,22,74.94170096013022,204.99999999981355,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,23,118.44444444430337,323.9999999997053,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,24,102.35939643334859,279.99999999974534,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,25,88.10219478727504,240.9999999997808,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,26,139.64746227692558,381.9999999996526,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,27,116.98216735239839,319.99999999970896,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,28,0.0,0.0,0.0,3
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,29,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,30,116.98216735239839,319.99999999970896,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,31,97.97256515763365,267.99999999975626,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,32,118.07887517132713,322.99999999970623,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,33,109.67078189287349,299.99999999972715,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,34,0.0,0.0,0.0,3
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,35,0.0,0.0,0.0,4
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,36,133.43278463632942,364.99999999966803,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,37,0.0,0.0,0.0,3
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,38,0.0,0.0,0.0,4
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,4,0.0,341.99999999968895,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,5,0.0,0.0,0.0,5
