case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,algorithm,evaluations,termination_reason,saved_front_size,execution_front_size,representative_hash,representative_F1,representative_F2,representative_F3,final_total_satisfaction,final_min_satisfaction,zero_service_ratio,remaining_supply,hypervolume,igd
S025,corridor,inactive,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT0_EC1:d467400fa28a,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,11,10,bdef86effae56540,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.4087965106238793,0.04669368312578605
S025,corridor,inactive,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC0:bac39318c609,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,50,50,0d9d3152bdf41867,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.43990772685628654,0.0030218365231072224
S025,corridor,inactive,102,1070000,0,PR1_HT1_EC1,Full,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC1:5ea31455e620,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,50,50,0d9d3152bdf41867,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.43990772685628654,0.0030218365231072224
S025,corridor,inactive,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR0_HT1_EC1:058a193aaa0a,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,8,7,1ef01e5e00d2b089,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.38830434481083576,0.09472606635125098
S025,corridor,inactive,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT0_EC1:2dd37455a867,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,8,8,a1ec65e0f543a200,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.4000151293259779,0.07187890225347533
S025,corridor,inactive,102,1070001,1,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC0:a0d4a79acbb1,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,42,42,bd0f9cccf9ba143f,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.4402350895494101,0.0074925219282595806
S025,corridor,inactive,102,1070001,1,PR1_HT1_EC1,Full,S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC1:92d9f9fb0c34,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,42,42,bd0f9cccf9ba143f,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.4402350895494101,0.0074925219282595806
S025,corridor,transition,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@transition:i101:nsga2:s1060000:r0:PR0_HT1_EC1:e4e07a86b37e,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,11,11,12107015ae80e154,6.819450198209346,1242.6058387527426,-0.0,0.332881678690351,0.0,0.5,373.1638554217491,0.7506731925597324,0.06380527012784146
S025,corridor,transition,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT0_EC1:0d714d56d220,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,16,13,b3a9e7a7ecd8442b,6.819450198209346,1370.0391294884269,-0.0,0.332881678690351,0.0,0.5,373.1638554217491,0.812237548759159,0.024966384556827505
S025,corridor,transition,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC0:7d29063592f4,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,40,9,1cf0727b6e4aef4b,6.829874618268658,1390.9736550980047,-0.0,0.3331596426352784,0.0,0.3333333333333333,372.98095514598685,0.6098227283274894,0.1158379943954216
