zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,model_id,solution_index,decision_hash,is_full_planning_model,planning_F1,planning_F2,planning_F3,execution_F1,execution_F2,execution_F3,execution_minus_planning_F1,execution_minus_planning_F2,execution_minus_planning_F3
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,7,3a3de1d450394501,True,5.184052788449702,3366.2622758380558,-0.7661290322580645,5.184052788449702,3366.2622758380558,-0.7661290322580645,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,8,032f57b3d14df0b6,True,5.216153165520179,3357.7588234360283,-0.6837606837606838,5.216153165520179,3357.7588234360283,-0.6837606837606838,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,9,4b9280956e669a6a,True,5.264158824522969,3354.370259339828,-0.6451612903225806,5.264158824522969,3354.370259339828,-0.6451612903225806,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,10,ff393cf8f8094bd7,True,5.2761100844332045,3325.6756021485553,-0.6410256410256411,5.2761100844332045,3325.6756021485553,-0.6410256410256411,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,11,cdec131c9b045012,True,5.8403151566972875,3226.055394651502,-0.6282722513089005,5.8403151566972875,3226.055394651502,-0.6282722513089005,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,12,bb3b0f61f5fa667c,True,5.834563059641514,3139.9195874972784,-0.6048387096774194,5.834563059641514,3139.9195874972784,-0.6048387096774194,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,13,839ffd2a9413d7f4,True,5.868847354243383,3088.2448350281466,-0.5645161290322581,5.868847354243383,3088.2448350281466,-0.5645161290322581,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,14,7545b00823226646,True,6.240105590717552,2863.220631408768,-0.4712041884816754,6.240105590717552,2863.220631408768,-0.4712041884816754,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,15,ad284ed9bb5f2bc8,True,6.16129706530286,2885.304944717846,-0.4712041884816754,6.16129706530286,2885.304944717846,-0.4712041884816754,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,16,59c39bd33ef64e56,True,6.247220754374321,2860.961588677967,-0.4712041884816754,6.247220754374321,2860.961588677967,-0.4712041884816754,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,17,7cbc02d64d791d9d,True,6.190389747813013,2880.233704915056,-0.4700854700854701,6.190389747813013,2880.233704915056,-0.4700854700854701,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,18,6aeed0ac11ab4dcd,True,6.232624396421143,2849.5470556426853,-0.42735042735042733,6.232624396421143,2849.5470556426853,-0.42735042735042733,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,19,f5ac9e12dbdf513a,True,6.136650285928104,2926.576544613943,-0.42735042735042733,6.136650285928104,2926.576544613943,-0.42735042735042733,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,20,6ddf5728ffbce4b7,True,6.188108260170005,2859.6533078136104,-0.42735042735042733,6.188108260170005,2859.6533078136104,-0.42735042735042733,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,21,b9bd6c1a72193a4f,True,6.556417512573782,2291.0567142947484,-0.39267015706806285,6.556417512573782,2291.0567142947484,-0.39267015706806285,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,22,8f75a07b588ca81b,True,6.515986526045393,2367.581746367237,-0.3629032258064516,6.515986526045393,2367.581746367237,-0.3629032258064516,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,23,1b7189b25e06d77b,True,6.5441546126965155,2319.0958197335476,-0.3225806451612903,6.5441546126965155,2319.0958197335476,-0.3225806451612903,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,24,ceb896d36b09a416,True,6.774338475453999,1925.1205225275542,-0.31413612565445026,6.774338475453999,1925.1205225275542,-0.31413612565445026,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,25,3bac87766dd1ab22,True,6.822819118066349,1887.4190688672031,-0.31413612565445026,6.822819118066349,1887.4190688672031,-0.31413612565445026,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,26,4f1d4bc135f18f8d,True,6.51457554962144,2386.4324731974125,-0.29914529914529914,6.51457554962144,2386.4324731974125,-0.29914529914529914,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,27,c1c226b58c48e18d,True,6.536460461554876,2352.3085623864213,-0.29914529914529914,6.536460461554876,2352.3085623864213,-0.29914529914529914,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,28,45fc42d13764beaa,True,6.522976477989369,2294.626860530495,-0.28225806451612906,6.522976477989369,2294.626860530495,-0.28225806451612906,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,29,8ef4bac82e801e37,True,6.941346367879781,1850.8846612186808,-0.2617801047120419,6.941346367879781,1850.8846612186808,-0.2617801047120419,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,30,18253433f1b9503e,True,6.78744463534915,1878.8862420110522,-0.2617801047120419,6.78744463534915,1878.8862420110522,-0.2617801047120419,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,31,aa1b4f3f9073b939,True,6.934484912008222,1850.8846612186805,-0.2564102564102564,6.934484912008222,1850.8846612186805,-0.2564102564102564,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,32,c4f95e7f863d2201,True,6.766003359969503,1898.3925205937005,-0.2564102564102564,6.766003359969503,1898.3925205937005,-0.2564102564102564,0.0,0.0,0.0
