scenario,case_id,instance_seed,fleet_multiplier,capacity_scale,supply_multiplier,max_edge_utilization,capacity_reroutes,EC_changed_objective,EC_delta_F1,EC_delta_F2,F1,F2,total_delivered,remaining_supply,unused_vehicle_trips
S025_random_random,S025,2,0.5,0.005,0.5,0.09466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,186.25274132355025,0
S025_random_random,S025,2,0.5,0.002,0.5,0.23665789129030917,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,186.25274132355025,0
S025_random_random,S025,2,0.5,0.001,0.5,0.47331578258061835,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,186.25274132355025,0
S025_random_random,S025,2,1.0,0.05,0.5,0.026505683824514625,0,False,0.0,0.0,5.661505033726265,1658.8178373219373,542.2499999997945,2.0555290802803938e-10,83
S025_random_random,S025,2,1.0,0.01,0.5,0.13252841912257313,0,False,0.0,0.0,5.661505033726265,1658.8178373219373,542.2499999997945,2.0555290802803938e-10,83
S025_random_random,S025,2,1.0,0.005,0.5,0.26505683824514625,0,False,0.0,0.0,5.661505033726265,1658.8178373219373,542.2499999997945,2.0555290802803938e-10,83
S025_random_random,S025,2,1.0,0.002,0.5,0.6626420956128657,0,False,0.0,0.0,5.661505033726265,1658.8178373219373,542.2499999997945,2.0555290802803938e-10,83
S025_random_random,S025,2,1.0,0.001,0.5,0.9891894255999956,4,True,0.0,-55.8313337229265,5.661505033726265,1714.6491710448638,542.2499999997945,2.0555290802803938e-10,83
S025_random_random,S025,2,2.0,0.05,0.5,0.04070515730193317,0,False,0.0,0.0,5.161787848007161,1615.393504411537,542.2499999997808,2.191882231272757e-10,241
S025_random_random,S025,2,2.0,0.01,0.5,0.20352578650966588,0,False,0.0,0.0,5.161787848007161,1615.393504411537,542.2499999997808,2.191882231272757e-10,241
S025_random_random,S025,2,2.0,0.005,0.5,0.40705157301933176,0,False,0.0,0.0,5.161787848007161,1615.393504411537,542.2499999997808,2.191882231272757e-10,241
S025_random_random,S025,2,2.0,0.002,0.5,0.9891894255999956,1,True,0.0,-3.626035954073359,5.161787848007161,1619.0195403656103,542.2499999997808,2.191882231272757e-10,241
S025_random_random,S025,2,2.0,0.001,0.5,0.9939631434192986,12,True,0.0,-413.3672244031259,5.161787848007161,2028.7607288146628,542.2499999997808,2.191882231272757e-10,242
S025_random_random,S025,2,4.0,0.05,0.5,0.05395799921419049,0,False,0.0,0.0,4.950000000001637,1470.8326278994325,542.2499999997808,2.191882231272757e-10,558
S025_random_random,S025,2,4.0,0.01,0.5,0.26978999607095244,0,False,0.0,0.0,4.950000000001637,1470.8326278994325,542.2499999997808,2.191882231272757e-10,558
S025_random_random,S025,2,4.0,0.005,0.5,0.5395799921419049,0,False,0.0,0.0,4.950000000001637,1470.8326278994325,542.2499999997808,2.191882231272757e-10,558
S025_random_random,S025,2,4.0,0.002,0.5,0.9939631434192986,3,True,0.0,-124.10688151010868,4.950000000001637,1594.9395094095412,542.2499999997808,2.191882231272757e-10,558
S025_random_random,S025,2,4.0,0.001,0.5,0.9974413819996885,16,True,0.0,-914.420251219816,4.950000000001637,2385.2528791192485,542.2499999997808,2.191882231272757e-10,557
S025_random_random,S025,2,0.5,0.05,1.0,0.009466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,728.5027413235503,0
S025_random_random,S025,2,0.5,0.01,1.0,0.04733157825806183,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,728.5027413235503,0
S025_random_random,S025,2,0.5,0.005,1.0,0.09466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,728.5027413235503,0
S025_random_random,S025,2,0.5,0.002,1.0,0.23665789129030917,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,728.5027413235503,0
S025_random_random,S025,2,0.5,0.001,1.0,0.47331578258061835,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,728.5027413235503,0
S025_random_random,S025,2,1.0,0.05,1.0,0.03357478595849965,0,False,0.0,0.0,4.174909266300697,2897.8329383245728,1084.4999999998959,1.0402345651527867e-10,15
S025_random_random,S025,2,1.0,0.01,1.0,0.16787392979249827,0,False,0.0,0.0,4.174909266300697,2897.8329383245728,1084.4999999998959,1.0402345651527867e-10,15
S025_random_random,S025,2,1.0,0.005,1.0,0.33574785958499653,0,False,0.0,0.0,4.174909266300697,2897.8329383245728,1084.4999999998959,1.0402345651527867e-10,15
S025_random_random,S025,2,1.0,0.002,1.0,0.8393696489624913,0,False,0.0,0.0,4.174909266300697,2897.8329383245728,1084.4999999998959,1.0402345651527867e-10,15
S025_random_random,S025,2,1.0,0.001,1.0,0.9893906960392758,14,True,0.0,-170.7401512295005,4.174909266300697,3068.5730895540732,1084.4999999998959,1.0402345651527867e-10,15
S025_random_random,S025,2,2.0,0.05,1.0,0.052862428955935625,0,False,0.0,0.0,2.166063856130316,2706.0874711683546,1084.4999999996296,3.70391717297025e-10,179
S025_random_random,S025,2,2.0,0.01,1.0,0.2643121447796781,0,False,0.0,0.0,2.166063856130316,2706.0874711683546,1084.4999999996296,3.70391717297025e-10,179
S025_random_random,S025,2,2.0,0.005,1.0,0.5286242895593563,0,False,0.0,0.0,2.166063856130316,2706.0874711683546,1084.4999999996296,3.70391717297025e-10,179
S025_random_random,S025,2,2.0,0.002,1.0,0.9939631434192986,8,True,0.0,-179.25788337478707,2.166063856130316,2885.3453545431416,1084.4999999996296,3.70391717297025e-10,179
S025_random_random,S025,2,2.0,0.001,1.0,0.9994225546642235,28,True,0.007909643429562685,-811.6705985927083,2.158154212700753,3517.758069761063,1084.4999999996296,3.7040592815174023e-10,179
S025_random_random,S025,2,4.0,0.05,1.0,0.09655641964644614,0,False,0.0,0.0,1.2803050911720062,2355.1563538778587,1084.4999999991835,8.165841336449375e-10,504
S025_random_random,S025,2,4.0,0.01,1.0,0.48278209823223067,0,False,0.0,0.0,1.2803050911720062,2355.1563538778587,1084.4999999991835,8.165841336449375e-10,504
S025_random_random,S025,2,4.0,0.005,1.0,0.9655641964644613,0,False,0.0,0.0,1.2803050911720062,2355.1563538778587,1084.4999999991835,8.165841336449375e-10,504
S025_random_random,S025,2,4.0,0.002,1.0,0.9960301521671099,13,True,-0.00414937759020817,-620.0018552110928,1.2844544687622144,2975.1582090889515,1084.4999999996585,3.4150104966101935e-10,502
S025_random_random,S025,2,4.0,0.001,1.0,0.9939631434192986,28,True,-0.00414937759020817,-1680.1183615254063,1.2844544687622144,4035.274715403265,1084.4999999996585,3.4150104966101935e-10,503
S025_random_random,S025,2,0.5,0.05,1.5,0.009466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,1270.7527413235503,0
S025_random_random,S025,2,0.5,0.01,1.5,0.04733157825806183,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,1270.7527413235503,0
S025_random_random,S025,2,0.5,0.005,1.5,0.09466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,1270.7527413235503,0
S025_random_random,S025,2,0.5,0.002,1.5,0.23665789129030917,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,1270.7527413235503,0
S025_random_random,S025,2,0.5,0.001,1.5,0.47331578258061835,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,1270.7527413235503,0
S025_random_random,S025,2,1.0,0.05,1.5,0.026505683824514625,0,False,0.0,0.0,4.109115957716627,2970.6459582048724,1161.9999999994902,464.7500000005098,0
S025_random_random,S025,2,1.0,0.01,1.5,0.13252841912257313,0,False,0.0,0.0,4.109115957716627,2970.6459582048724,1161.9999999994902,464.7500000005098,0
S025_random_random,S025,2,1.0,0.005,1.5,0.26505683824514625,0,False,0.0,0.0,4.109115957716627,2970.6459582048724,1161.9999999994902,464.7500000005098,0
S025_random_random,S025,2,1.0,0.002,1.5,0.6626420956128657,0,False,0.0,0.0,4.109115957716627,2970.6459582048724,1161.9999999994902,464.7500000005098,0
S025_random_random,S025,2,1.0,0.001,1.5,0.9891894255999956,18,True,0.0,-126.6153428467378,4.109115957716627,3097.26130105161,1161.9999999994902,464.7500000005098,0
S025_random_random,S025,2,2.0,0.05,1.5,0.05206473608386802,0,False,0.0,0.0,1.6058978810281137,2751.7241045309484,1204.9999999993147,421.7500000006853,167
S025_random_random,S025,2,2.0,0.01,1.5,0.26032368041934006,0,False,0.0,0.0,1.6058978810281137,2751.7241045309484,1204.9999999993147,421.7500000006853,167
