topology_cell,topology_description,scenario,case_id,instance_seed,decision,graph_bridge_count,damaged_bridge_count,bridge_gated_demand_count,F1,F2,F3,PR_allocations_changed,PR_same_decision_changed,PR_delta_F1,PR_delta_F2,HT_allocations_changed,HT_same_decision_changed,HT_delta_F1,HT_delta_F2,EC_allocations_changed,EC_same_decision_changed,EC_delta_F1,EC_delta_F2,max_edge_utilization,partial_edge_periods,partial_edge_used_periods,threshold_sensitive_od_periods
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,102,spt,0,0,0,4.709275918397136,5291.017841719325,-0.666093468421017,2,True,0.0,31.431223150661936,0,False,0.0,0.0,0,False,0.0,0.0,0.04232593267933968,11,2,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,102,random_0,0,0,0,4.453767120347466,5706.677161449083,-0.8994708994708994,5,True,0.03954467913988591,22.73734547703134,5,True,0.03954467913988591,-3.241015564190093,0,False,0.0,0.0,0.030695142961958542,12,3,8
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,102,random_1,0,0,0,4.391866002604707,5398.965533607,-0.8999999999998317,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.02823953152500186,10,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,102,random_2,0,0,0,4.316363097570985,5515.926358391113,-0.8999999999998552,7,True,-0.048148603585514316,188.415074993477,5,True,-0.048148603585514316,-14.864148128622219,0,False,0.0,0.0,0.026325600793264726,11,5,14
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,102,random_3,0,0,0,4.09789747788189,4885.97506567122,-0.8999999999995856,1,True,0.0,2.2711538303101406,0,False,0.0,0.0,0,False,0.0,0.0,0.03882999767280954,10,1,0
fourcell_corridor,explicit corridor topology,corridor,S025,1,spt,4,1,4,6.056499407797708,1335.70812225565,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.016487649212316803,5,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,1,random_0,4,1,4,6.063134904207454,1197.2111685374507,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.017075575562503744,5,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,1,random_1,4,1,4,6.056499407797708,1335.70812225565,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.016487649212316803,4,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,1,random_2,4,1,4,6.063134904207454,1197.2111685374507,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.017075575562503744,6,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,1,random_3,4,1,4,6.042973613884914,1464.290807953995,-0.0,1,True,0.020161290322539216,-267.0796394165443,1,True,-0.09498775010194116,405.10272515606766,0,False,0.0,0.0,0.017075575562503744,4,1,4
