run_key,case_id,instance_seed,solver_seed,solver_repeat,model_id,physical_instance_hash,scenario_family,zone,planning_model,max_evaluations,evaluations,runtime_seconds,termination_reason,reused_from_pilot,saved_decisions,planning_front_size,execution_front_size,planning_hypervolume,planning_igd,execution_hypervolume,execution_igd,representative_decision_hash,representative_planning_F1,representative_planning_F2,representative_planning_F3,representative_execution_F1,representative_execution_F2,representative_execution_F3,execution_min_satisfaction,execution_total_satisfaction,execution_zero_service_ratio,execution_remaining_supply
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,WEN38,1,60003,3,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,2000,2000,126.2792894160084,budget_exhausted,False,37,37,37,1.0182428190431043,0.09906760367225381,0.9757841754037933,0.12277198465217598,c46d6d255e731b2f,2.4601970662449233,173180.6666666667,-0.7973068745568526,2.4601970662449233,173180.6666666667,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:1fc0c8443b44,WEN38,1,60004,4,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,2000,2000,97.94105066699558,budget_exhausted,False,45,45,14,0.7885993312614028,0.15071044188599297,0.5055162725758102,0.30522393503778683,ee3ef29de51918e8,2.8017578058554893,110549.5,-0.5511965476662226,2.5657549709868164,122267.83333333334,-0.05998356614873046,0.05998356614873046,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT0_EC1:3123814e608b,WEN38,1,60004,4,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,2000,2000,93.91858120801044,budget_exhausted,False,57,57,40,0.5954946599162099,0.18468868229595334,0.669994402416393,0.22431764011103408,1481f3f69632e229,2.4686524308973574,125462.66666666667,-0.533325929152852,2.4686524308973574,128947.0,-0.533325929152852,0.533325929152852,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:384c4b2a81e6,WEN38,1,60004,4,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,2000,2000,30.603886041993974,budget_exhausted,False,54,54,54,0.7835871002975721,0.17488898274674972,0.8005635030938593,0.21269447011343012,5b79823882cec780,2.4628482903011486,162572.6666666667,-0.7973068745568526,2.4628482903011486,162572.6666666667,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,WEN38,1,60004,4,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,2000,2000,111.23033783299616,budget_exhausted,False,54,54,54,0.7835871002975721,0.17488898274674972,0.8005635030938593,0.21269447011343012,5b79823882cec780,2.4628482903011486,162572.6666666667,-0.7973068745568526,2.4628482903011486,162572.6666666667,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:9081e514fb6f,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,5000,5000,251.03716995799914,budget_exhausted,False,107,107,11,1.0194097704116916,0.04410409913247985,0.5998031960471689,0.2745767085219658,d68c4728a83fdbd8,2.8371936669467326,92035.0,-0.5544303797469183,2.535280130448207,156851.0,-0.07405908539294614,0.07405908539294614,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:1639f57d8023,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,5000,5000,229.57733329199255,budget_exhausted,False,94,94,39,0.9070006645110016,0.10816918397016369,1.0058896020858563,0.1044025426825157,a5a4f5667a1d1691,2.462526705450535,118562.66666666667,-0.7973068745568526,2.4634126019778204,120184.0,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:133825dd952b,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,5000,5000,93.57812325001578,budget_exhausted,False,58,58,58,1.102414680140895,0.0617956019083839,1.0448726630119345,0.09786327490688483,e4454b05e2e9023e,2.4628047711066134,132581.33333333334,-0.7973068745568526,2.4628047711066134,132581.33333333334,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,WEN38,1,60000,0,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,5000,5000,360.90625179201015,budget_exhausted,False,58,58,58,1.102414680140895,0.0617956019083839,1.0448726630119345,0.09786327490688483,e4454b05e2e9023e,2.4628047711066134,132581.33333333334,-0.7973068745568526,2.4628047711066134,132581.33333333334,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:40665960a588,WEN38,1,60001,1,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,5000,5000,255.34932704200037,budget_exhausted,False,116,116,20,0.9428544829327639,0.06337520663061731,0.694569387459746,0.21377526482971976,bece9cb3c08942b2,2.743002997223771,92881.0,-0.5210383085623107,2.626241834927633,84574.5,-0.3385371494669016,0.3385371494669016,0.7973068745570517,0.0,0.0
