run_key,solution_id,physical_instance_hash,planning_model,planning_model_fingerprint,execution_model,execution_model_fingerprint,instance_seed,solver_seed,algorithm,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3,replay_final_total_satisfaction,replay_final_min_satisfaction,replay_zero_service_ratio,replay_remaining_supply,representative_selected_before_replay,replay_success,replay_error
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0007,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,2c2dbdaf832d4bf3,3.8512475983753838,3470.385303874847,-0.8999999999999386,3.8512475983753838,3470.385303874847,-0.8999999999999386,0.0,0.0,0.0,0.8999999999999387,0.8999999999999386,0.0,6.957634468562901e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0008,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,15573a0b6f3ca1e6,3.9046912887263625,3301.4467470040845,-0.8999999999999131,3.9046912887263625,3301.4467470040845,-0.8999999999999131,0.0,0.0,0.0,0.8999999999999131,0.8999999999999131,0.0,9.866596428764751e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0009,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,0f60208b29ef4d91,3.897550082906477,3286.399258101015,-0.8999999999998799,3.921845802647959,3296.8018164243404,-0.8999999999998799,0.024295719741481925,10.402558323325138,0.0,0.89999999999988,0.8999999999998799,0.0,1.3605472304334398e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0010,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,53c5bec5aad623a0,3.822754443393368,3569.2200388402166,-0.8999999999998798,3.822754443393368,3569.2200388402166,-0.8999999999998798,0.0,0.0,0.0,0.8999999999998799,0.8999999999998798,0.0,1.3606893389805919e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0011,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,be43729d82f4289e,3.8299607470847343,3431.1612849266176,-0.8999999999998598,3.8299607470847343,3431.1612849266176,-0.8999999999998598,0.0,0.0,0.0,0.8999999999998599,0.8999999999998598,0.0,1.588631448612432e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0012,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,a8c1752461c1cb32,4.103827141290869,3243.0102605748316,-0.8999999999998516,4.103827141290869,3243.0102605748316,-0.8999999999998516,0.0,0.0,0.0,0.8999999999999015,0.8999999999998516,0.0,1.1172573977091815e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0013,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,e336fab048851181,4.103827141290869,3243.0102605748316,-0.8999999999998516,4.103827141290869,3243.0102605748316,-0.8999999999998516,0.0,0.0,0.0,0.8999999999999015,0.8999999999998516,0.0,1.1172573977091815e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0014,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,5993580053f16b64,3.8229813472995664,3436.0530032700503,-0.8999999999998027,3.8229813472995664,3436.0530032700503,-0.8999999999998027,0.0,0.0,0.0,0.8999999999998027,0.8999999999998027,0.0,2.234088469776907e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0015,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,513b01e0e2a1dcd1,3.9022148735147786,3237.4882316429494,-0.899999999999794,3.9022148735147786,3237.4882316429494,-0.899999999999794,0.0,0.0,0.0,0.8999999999997941,0.899999999999794,0.0,2.332214421585377e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0016,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,b0fc508862972fb8,3.820253964737538,3211.345695506263,-0.8999999999997499,3.820253964737538,3211.345695506263,-0.8999999999997499,0.0,0.0,0.0,0.8999999999997499,0.8999999999997499,0.0,2.8329338874755194e-10,False,True,
