decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
random_1,1,5,17,19,0.0,0,,False
random_1,1,6,17,22,0.0,0,,False
random_1,1,7,18,25,0.0,0,,False
random_1,1,8,22,24,0.0,0,,False
random_1,1,9,24,30,0.0,0,,False
random_1,1,10,26,28,0.0,0,,False
random_1,1,11,26,34,0.0,0,,False
random_1,1,12,28,29,0.0,0,,False
random_1,1,13,33,34,0.0,0,,False
random_1,1,14,34,35,0.0,0,,False
random_1,1,15,36,37,0.0,0,,False
random_1,2,0,1,17,0.0,0,,False
random_1,2,1,4,5,1.0,4,1|2|3|4,False
random_1,2,2,11,12,1.0,4,1|2|3|4,False
random_1,2,3,11,18,0.14285714285714285,0,,False
random_1,2,4,13,14,0.6666666666666666,2,1|2,True
random_1,2,5,17,19,0.0,0,,False
random_1,2,6,17,22,0.0,0,,False
random_1,2,7,18,25,0.0,0,,False
random_1,2,8,22,24,0.0,0,,False
random_1,2,9,24,30,0.0,0,,False
random_1,2,10,26,28,0.0,0,,False
random_1,2,11,26,34,0.45714285714285713,1,1,True
random_1,2,12,28,29,0.0,0,,False
random_1,2,13,33,34,0.0,0,,False
random_1,2,14,34,35,0.0,0,,False
random_1,2,15,36,37,0.0,0,,False
random_1,3,0,1,17,0.0,0,,False
random_1,3,1,4,5,1.0,4,1|2|3|4,False
random_1,3,2,11,12,1.0,4,1|2|3|4,False
random_1,3,3,11,18,1.0,4,1|2|3|4,False
random_1,3,4,13,14,1.0,4,1|2|3|4,False
random_1,3,5,17,19,0.0,0,,False
random_1,3,6,17,22,1.0,4,1|2|3|4,False
random_1,3,7,18,25,0.0,0,,False
random_1,3,8,22,24,0.37037037037037035,1,1,True
random_1,3,9,24,30,0.0,0,,False
random_1,3,10,26,28,0.0,0,,False
random_1,3,11,26,34,0.9142857142857143,4,1|2|3|4,False
random_1,3,12,28,29,0.0,0,,False
random_1,3,13,33,34,0.0,0,,False
random_1,3,14,34,35,0.0,0,,False
random_1,3,15,36,37,0.18181818181818182,0,,False
random_1,4,0,1,17,0.0,0,,False
random_1,4,1,4,5,1.0,4,1|2|3|4,False
random_1,4,2,11,12,1.0,4,1|2|3|4,False
random_1,4,3,11,18,1.0,4,1|2|3|4,False
random_1,4,4,13,14,1.0,4,1|2|3|4,False
random_1,4,5,17,19,0.0,0,,False
random_1,4,6,17,22,1.0,4,1|2|3|4,False
random_1,4,7,18,25,0.0,0,,False
random_1,4,8,22,24,0.9629629629629629,4,1|2|3|4,False
random_1,4,9,24,30,0.0,0,,False
random_1,4,10,26,28,0.0,0,,False
